epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.431,1.55981,3.10072,1.85115,0.83244,0.0375,0.14455,0.06953,1.7912,3.82243,2.19318,0.000409722,0.000409722,0.000409722
2,877.111,1.54686,2.56483,1.80958,0.6581,0.28654,0.13949,0.05406,1.95337,3.93656,2.58496,0.000799118,0.000799118,0.000799118
3,1261.29,1.63464,2.50763,1.86699,0.33878,0.15962,0.06558,0.0405,2.21565,4.13629,2.64301,0.00116101,0.00116101,0.00116101
4,1569.23,1.5976,2.37184,1.86373,0.39522,0.27404,0.15472,0.05962,2.41916,8.64311,2.82792,0.00112625,0.00112625,0.00112625
5,1947.01,1.60141,2.25897,1.85595,0.64101,0.26334,0.27965,0.142,1.78205,3.0859,2.25275,0.001085,0.001085,0.001085
6,2322.8,1.5897,2.1873,1.82926,0.79378,0.34904,0.33015,0.16672,1.90192,3.38776,2.49569,0.00104375,0.00104375,0.00104375
7,2692.81,1.55696,2.15259,1.81037,0.71372,0.2794,0.33039,0.13163,1.94748,2.85942,2.5073,0.0010025,0.0010025,0.0010025
8,3217.34,1.52027,2.05466,1.78613,0.81391,0.29312,0.34205,0.13526,1.71287,2.60928,2.21715,0.00096125,0.00096125,0.00096125
9,3623.14,1.48036,2.02027,1.75777,0.86406,0.45047,0.52222,0.2374,1.99798,2.29378,2.44795,0.00092,0.00092,0.00092
10,4041.02,1.47396,2.00688,1.74968,0.56084,0.39615,0.26933,0.14532,1.76768,2.51142,2.23831,0.00087875,0.00087875,0.00087875
11,4434.27,1.44125,1.88744,1.69725,0.74332,0.48365,0.49202,0.20033,1.75598,2.49884,2.19154,0.0008375,0.0008375,0.0008375
12,4824.64,1.43693,1.85236,1.72034,0.66535,0.39945,0.41384,0.26169,1.86711,2.17805,2.32206,0.00079625,0.00079625,0.00079625
13,5204.59,1.40703,1.80677,1.68684,0.58976,0.50288,0.31613,0.14816,1.90235,2.3307,2.3279,0.000755,0.000755,0.000755
14,5582.28,1.37361,1.79485,1.65738,0.67544,0.55117,0.53115,0.3098,1.82313,2.12743,2.25181,0.00071375,0.00071375,0.00071375
15,5971.87,1.35662,1.74419,1.65287,0.73614,0.525,0.52656,0.32918,1.72072,2.0752,2.20698,0.0006725,0.0006725,0.0006725
16,6369.45,1.29321,1.68853,1.61126,0.78971,0.37749,0.45463,0.23239,1.64629,2.05075,2.11133,0.00063125,0.00063125,0.00063125
17,6768.59,1.33333,1.70444,1.62402,0.79401,0.5375,0.53987,0.29512,1.7011,1.91557,2.18397,0.00059,0.00059,0.00059
18,7169.34,1.27788,1.62588,1.58652,0.84557,0.50962,0.53851,0.27599,1.64219,1.94418,2.13127,0.00054875,0.00054875,0.00054875
19,9435.58,1.28834,1.62354,1.57734,0.81697,0.51141,0.53099,0.28039,1.67214,1.97887,2.24078,0.0005075,0.0005075,0.0005075
20,10281.2,1.24551,1.56664,1.58343,0.87005,0.42765,0.54238,0.31867,1.75194,2.09375,2.14731,0.00046625,0.00046625,0.00046625
21,14507,1.33716,1.67899,1.73225,0.65735,0.52212,0.4647,0.2519,1.77411,1.89875,2.30858,0.000425,0.000425,0.000425
22,14849.5,1.27313,1.56165,1.67839,0.9186,0.4882,0.56279,0.34885,1.67664,1.80471,2.11405,0.00038375,0.00038375,0.00038375
23,15203.5,1.20816,1.50271,1.62064,0.9021,0.50927,0.58949,0.24399,1.75955,1.99146,2.11447,0.0003425,0.0003425,0.0003425
24,15587.9,1.19874,1.44814,1.63934,0.86046,0.49832,0.56299,0.26553,1.68734,2.02076,2.0299,0.00030125,0.00030125,0.00030125
